dhw_storage,electrical_storage,cooling_or_heating_device
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.4306774139404297
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.6769012451171875
-0.08,-0.08,0.5789546966552734
-0.08,-0.08,0.0
-0.08,-0.08,-0.5595329284667969
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,-0.6794540405273437
-0.08,-0.08,0.0
-0.08,-0.08,-0.5301612854003906
-0.08,-0.08,0.0
-0.08,-0.08,-0.5955791473388672
-0.08,-0.08,0.536471939086914
-0.08,-0.08,0.0
-0.08,-0.08,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.4323921203613281
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.7240131378173829
-0.08,-0.08,0.4047252655029297
-0.08,-0.08,0.0
-0.08,-0.08,-0.6615901947021484
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,-0.6604499816894531
-0.08,-0.08,0.0
-0.08,-0.08,-0.5190132141113282
-0.08,-0.08,0.0
-0.08,-0.08,-0.5732429504394532
-0.08,-0.08,0.5329055786132812
-0.08,-0.08,0.0
-0.08,-0.08,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.566250991821289
0.091,0.091,0.0
-0.08,-0.08,-0.6020374298095703
-0.08,-0.08,0.0
-0.08,-0.08,-0.4875297546386719
-0.08,-0.08,0.0
-0.08,-0.08,-0.4533073425292969
-0.08,-0.08,0.0
-0.08,-0.08,-0.5888694763183594
-0.08,-0.08,0.0
-0.08,-0.08,-0.664288330078125
-0.08,-0.08,0.0
-0.08,-0.08,-0.5882732391357421
-0.08,-0.08,0.8040554046630859
-0.08,-0.08,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.42937507629394533
0.091,0.091,0.0
-0.08,-0.08,-0.5960472106933594
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,-0.7148792266845703
-0.08,-0.08,0.44292488098144533
-0.08,-0.08,0.0
-0.08,-0.08,-0.6757774353027344
-0.08,-0.08,0.0
-0.08,-0.08,-0.5434246063232422
-0.08,-0.08,0.0
