cooling demand,heating demand,cooling electricity consumption,heating electricity consumption,dhw demand,dhw electricity consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,dhw soc storage,dhw capacity,dhw stored energy (?),electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,electrical storage soc,electrical capacity history,stored electrical energy,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,non shiftable load,solar generation,outdoor_temperature,indoor_temperature,heating_sp,cooling_sp,comfort_band
0.0,17.595634,0.0,0.0,0.3753282,0.4014988,0.0,0.0,0.0,0.0,0.0,0.0,0.111251466,0.111251466,0.0,0.999608,11.999331678669867,11.994627703680774,0.0,-0.0,0.0,-0.0,-0.0,17.595634,0.111251466,0.9211599,1.0003092,1.0003092,0.0,0.24032754,0.27242967,0.9211599,-0.03210213,-16.5,21.023499,21.11111,21.11111,2.0
0.0,31.121542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1112509,0.1112509,0.0,0.9996075,11.999326154562059,11.994616460013942,0.0,-0.0,0.0,-0.0,-0.0,31.121542,0.1112509,1.0612863,1.1577266,1.1577266,0.0,0.9025587,0.91736925,1.0612863,-0.014810541,-16.65,28.966347,21.11111,21.11111,2.0
0.0,31.10668,0.0,0.0,1.1284344,1.207117,0.0,0.0,0.0,0.0,0.0,0.0,0.11125105,0.11125105,0.0,0.999607,11.99932063044431,11.994605216342439,0.0,-0.0,0.0,-0.0,-0.0,31.10668,0.11125105,2.2965994,2.4073474,2.4073474,0.0,2.1348758,2.1353788,2.2965994,-0.00050302077,-17.5,27.176605,21.11111,21.11111,2.0
0.0,31.207205,0.0,0.0,0.41024852,0.43885398,0.0,0.0,0.0,0.0,0.0,0.0,0.1112512,0.1112512,0.0,0.9996066,11.999315106316617,11.99459468788118,0.0,-0.0,0.0,-0.0,-0.0,31.207205,0.1112512,2.1053965,2.2166476,2.2166476,0.0,2.0612185,2.0612185,2.1053965,-0.0,-18.9,28.838943,21.11111,21.11111,2.0
0.0,31.149723,0.0,0.0,2.8342667,3.031892,0.0,0.0,0.0,0.0,0.0,0.0,0.11125063,0.11125063,0.0,0.99960613,11.999309582214497,11.99458344423551,0.0,-0.0,0.0,-0.0,-0.0,31.149723,0.11125063,1.3393956,1.4506463,1.4506463,0.0,1.2282926,1.2282926,1.3393956,-0.0,-20.6,28.289238,21.11111,21.11111,2.0
0.0,31.208797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11125078,0.11125078,0.0,0.99960566,11.999304058102435,11.994572200585168,0.0,-0.0,0.0,-0.0,-0.0,31.208797,0.11125078,1.2651703,1.3764211,1.3764211,0.0,1.2228463,1.2228463,1.2651703,-0.0,-21.4,28.590244,21.11111,21.11111,2.0
0.0,31.148666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11125093,0.11125093,0.0,0.99960524,11.999298533980431,11.994561672144084,0.0,-0.0,0.0,-0.0,-0.0,31.148666,0.11125093,1.1473831,1.258634,1.258634,0.0,1.0350478,1.0350478,1.1473831,-0.0,-22.2,28.342796,21.11111,21.11111,2.0
0.0,31.215405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11125036,0.11125036,0.0,0.99960476,11.999293009884001,11.994550428519576,0.0,-0.0,0.0,-0.0,-0.0,31.215405,0.11125036,1.0700063,1.1812567,1.1812567,0.0,1.0353726,1.0353726,1.0700063,-0.0,-22.2,28.300259,21.11111,21.11111,2.0
0.0,31.15858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11125051,0.11125051,0.0,0.9996043,11.999287485777629,11.994539184890398,0.0,-0.0,0.0,-0.0,-0.0,31.15858,0.11125051,0.57373434,0.68498486,0.68498486,0.0,0.4729424,0.4729424,0.57373434,-0.0,-22.2,27.998306,21.11111,21.11111,2.0
0.0,31.21754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11125066,0.11125066,0.0,0.99960387,11.999281961661314,11.994528656469488,0.0,-0.0,0.0,-0.0,-0.0,31.21754,0.11125066,0.56145334,0.672704,0.672704,0.0,0.5293069,0.5293069,0.56145334,-0.0,-21.7,27.835209,21.11111,21.11111,2.0
0.0,31.187824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111250095,0.111250095,0.0,0.9996034,11.999276437570572,11.99451741286614,0.0,-0.0,0.0,-0.0,-0.0,31.187824,0.111250095,0.5409322,0.6521823,0.6521823,0.0,0.47418642,0.47418642,0.5409322,-0.0,-22.2,27.520664,21.11111,21.11111,2.0
0.0,31.16026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111250244,0.111250244,0.0,0.9996029,11.999270913469887,11.994506169258122,0.0,-0.0,0.0,-0.0,-0.0,31.16026,0.111250244,0.53927666,0.6505269,0.6505269,0.0,0.44043785,0.44043785,0.53927666,-0.0,-22.75,27.07433,21.11111,21.11111,2.0
0.0,31.215557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11125039,0.11125039,0.0,0.99960244,11.99926538935926,11.994494925645434,0.0,-0.0,0.0,-0.0,-0.0,31.215557,0.11125039,0.5156975,0.6269479,0.6269479,0.0,0.48124313,0.48124313,0.5156975,-0.0,-23.3,26.60981,21.11111,21.11111,2.0
0.0,31.165352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111250535,0.111250535,0.0,0.999602,11.999259865239063,11.99448439724007,0.0,-0.0,0.0,-0.0,-0.0,31.165352,0.111250535,0.52984947,0.6411,0.6411,0.0,0.43694252,0.43694252,0.52984947,-0.0,-23.3,26.092537,21.11111,21.11111,2.0
0.0,31.228481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111249976,0.111249976,0.0,0.99960154,11.999254341144068,11.994473153653214,0.0,-0.0,0.0,-0.0,-0.0,31.228481,0.111249976,0.5977013,0.7089513,0.7089513,0.0,0.57829213,0.57829213,0.5977013,-0.0,-24.15,25.509724,21.11111,21.11111,2.0
0.0,31.037823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111250125,0.111250125,0.0,0.99960107,11.999248817039131,11.99446191006169,0.0,-0.0,0.0,-0.0,-0.0,31.037823,0.111250125,0.7507618,0.8620119,0.8620119,0.0,0.5093715,0.5093715,0.7507618,-0.0,-24.4,24.972805,21.11111,21.11111,2.0
0.0,31.04843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11125027,0.11125027,0.0,0.99960065,11.999243292924621,11.994451381676498,0.0,-0.0,0.0,-0.0,-0.0,31.04843,0.11125027,0.96045357,1.0717038,1.0717038,0.0,0.7314153,0.7314153,0.96045357,-0.0,-25.6,24.428677,21.11111,21.11111,2.0
0.0,31.236853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11124971,0.11124971,0.0,0.9996002,11.999237768835316,11.994440138110805,0.0,-0.0,0.0,-0.0,-0.0,31.236853,0.11124971,0.8602024,0.97145206,0.97145206,0.0,0.85053974,0.85053974,0.8602024,-0.0,-25.3,24.294739,21.11111,21.11111,2.0
0.0,31.232143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11124986,0.11124986,0.0,0.9995997,11.999232244736069,11.994428894540444,0.0,-0.0,0.0,-0.0,-0.0,31.232143,0.11124986,0.88138837,0.98805904,0.98805904,0.0,0.86166483,0.866244,0.88138837,-0.0045791725,-24.15,24.06239,21.11111,21.11111,2.0
0.0,31.228643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11125,0.11125,0.0,0.9995993,11.999226720627249,11.994418366175427,0.0,-0.0,0.0,-0.0,-0.0,31.228643,0.11125,0.8642967,0.96328014,0.96328014,0.0,0.8328117,0.84507823,0.8642967,-0.012266492,-20.55,24.660553,21.11111,21.11111,2.0
0.0,31.198393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11124944,0.11124944,0.0,0.9995988,11.999221196543632,11.994407122630896,0.0,-0.0,0.0,-0.0,-0.0,31.198393,0.11124944,0.84643435,0.9376227,0.9376227,0.0,0.77193373,0.7919948,0.84643435,-0.020061051,-17.25,25.58358,21.11111,21.11111,2.0
0.0,31.220726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11124959,0.11124959,0.0,0.9995983,11.999215672450072,11.994395879081694,0.0,-0.0,0.0,-0.0,-0.0,31.220726,0.11124959,0.8533914,0.9302307,0.9302307,0.0,0.7905425,0.8249528,0.8533914,-0.034410287,-15.6,26.29599,21.11111,21.11111,2.0
0.0,31.169987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11124973,0.11124973,0.0,0.99959785,11.999210148346942,11.994384635528194,0.0,-0.0,0.0,-0.0,-0.0,31.169987,0.11124973,0.86622304,0.93519413,0.93519413,0.0,0.7364315,0.7787101,0.86622304,-0.042278618,-14.4,26.87709,21.11111,21.11111,2.0
0.0,31.22633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11124988,0.11124988,0.0,0.99959743,11.999204624233869,11.994374107178352,0.0,-0.0,0.0,-0.0,-0.0,31.22633,0.11124988,0.86542684,0.93537027,0.93537027,0.0,0.8022088,0.8435152,0.86542684,-0.04130643,-13.6,27.608505,21.11111,21.11111,2.0
0.0,30.99462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11124932,0.11124932,0.0,0.99959695,11.999199100145999,11.994362863650315,0.0,-0.0,0.0,-0.0,-0.0,30.99462,0.11124932,0.9211599,1.0012548,1.0012548,0.0,0.59831464,0.62946904,0.9211599,-0.031154385,-12.4,28.22612,21.11111,21.11111,2.0
0.0,31.207235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11124946,0.11124946,0.0,0.9995965,11.999193576048556,11.994351620117975,0.0,-0.0,0.0,-0.0,-0.0,31.207235,0.11124946,1.0612863,1.157516,1.157516,0.0,1.0021229,1.0171427,1.0612863,-0.01501979,-12.033334,28.837265,21.11111,21.11111,2.0
0.0,31.20435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11124961,0.11124961,0.0,0.99959606,11.999188051941172,11.994341091788307,0.0,-0.0,0.0,-0.0,-0.0,31.20435,0.11124961,1.3899964,1.5004052,1.5004052,0.0,1.3416512,1.342492,1.3899964,-0.00084082974,-11.4,29.362137,21.11111,21.11111,2.0
0.0,31.057436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11124905,0.11124905,0.0,0.9995956,11.999182527858991,11.994329848281431,0.0,-0.0,0.0,-0.0,-0.0,31.057436,0.11124905,1.4902439,1.601493,1.601493,0.0,1.2716923,1.2716923,1.4902439,-0.0,-10.6,29.958755,21.11111,21.11111,2.0
0.0,31.21508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11124919,0.11124919,0.0,0.9995951,11.999177003767239,11.994318604770253,0.0,-0.0,0.0,-0.0,-0.0,31.21508,0.11124919,1.3393956,1.4506449,1.4506449,0.0,1.3043844,1.3043844,1.3393956,-0.0,-9.4,30.800583,21.11111,21.11111,2.0
0.0,31.227392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11124934,0.11124934,0.0,0.9995947,11.999171479665543,11.994308076460761,0.0,-0.0,0.0,-0.0,-0.0,31.227392,0.11124934,1.2651703,1.3764197,1.3764197,0.0,1.2444947,1.2444947,1.2651703,-0.0,-8.85,31.437336,21.11111,21.11111,2.0
0.0,31.18802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111248784,0.111248784,0.0,0.9995942,11.999165955589053,11.994296832975047,0.0,-0.0,0.0,-0.0,-0.0,31.18802,0.111248784,1.1473831,1.2586318,1.2586318,0.0,1.0808661,1.0808661,1.1473831,-0.0,-8.3,32.013893,21.11111,21.11111,2.0
0.0,31.224735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111248925,0.111248925,0.0,0.99959373,11.99916043150299,11.994285589485033,0.0,-0.0,0.0,-0.0,-0.0,31.224735,0.111248925,0.672642,0.7838909,0.7838909,0.0,0.6488726,0.6488726,0.672642,-0.0,-7.8,32.46464,21.11111,21.11111,2.0
0.0,31.21648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111249074,0.111249074,0.0,0.99959326,11.999154907406984,11.99427434599035,0.0,-0.0,0.0,-0.0,-0.0,31.21648,0.111249074,0.57373434,0.68498343,0.68498343,0.0,0.54035574,0.54035574,0.57373434,-0.0,-7.8,32.68837,21.11111,21.11111,2.0
0.0,31.19311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11124922,0.11124922,0.0,0.99959284,11.999149383301036,11.994263817696032,0.0,-0.0,0.0,-0.0,-0.0,31.19311,0.11124922,0.56145334,0.67270255,0.67270255,0.0,0.5008645,0.5008645,0.56145334,-0.0,-7.2,32.844784,21.11111,21.11111,2.0
0.0,31.222925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11124866,0.11124866,0.0,0.99959236,11.999143859220661,11.994252574227179,0.0,-0.0,0.0,-0.0,-0.0,31.222925,0.11124866,0.5409322,0.65218085,0.65218085,0.0,0.5150571,0.5150571,0.5409322,-0.0,-7.2,32.703068,21.11111,21.11111,2.0
0.0,31.230494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111248806,0.111248806,0.0,0.9995919,11.999138335130343,11.994241330753656,0.0,-0.0,0.0,-0.0,-0.0,31.230494,0.111248806,0.53927666,0.65052545,0.65052545,0.0,0.5222135,0.5222135,0.53927666,-0.0,-7.2,32.576023,21.11111,21.11111,2.0
0.0,31.234015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111248955,0.111248955,0.0,0.99959147,11.999132811030083,11.99423080247951,0.0,-0.0,0.0,-0.0,-0.0,31.234015,0.111248955,0.5156975,0.62694645,0.62694645,0.0,0.5027313,0.5027313,0.5156975,-0.0,-7.8,32.28269,21.11111,21.11111,2.0
0.0,31.220118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11124839,0.11124839,0.0,0.999591,11.999127286955398,11.994219559031821,0.0,-0.0,0.0,-0.0,-0.0,31.220118,0.11124839,0.52984947,0.64109784,0.64109784,0.0,0.5007052,0.5007052,0.52984947,-0.0,-8.3,31.964504,21.11111,21.11111,2.0
0.0,31.134094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11124854,0.11124854,0.0,0.9995905,11.99912176287077,11.99420831557946,0.0,-0.0,0.0,-0.0,-0.0,31.134094,0.11124854,0.5977013,0.70894986,0.70894986,0.0,0.46840215,0.46840215,0.5977013,-0.0,-8.3,31.642853,21.11111,21.11111,2.0
0.0,31.234432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11124869,0.11124869,0.0,0.9995901,11.9991162387762,11.99419778732549,0.0,-0.0,0.0,-0.0,-0.0,31.234432,0.11124869,0.6750234,0.78627205,0.78627205,0.0,0.6625455,0.6625455,0.6750234,-0.0,-8.3,31.457447,21.11111,21.11111,2.0
0.0,31.226854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11124812,0.11124812,0.0,0.9995896,11.999110714707204,11.994186543898962,0.0,-0.0,0.0,-0.0,-0.0,31.226854,0.11124812,0.64671934,0.7579675,0.7579675,0.0,0.62541807,0.62541807,0.64671934,-0.0,-8.9,31.156342,21.11111,21.11111,2.0
0.0,31.236784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11124827,0.11124827,0.0,0.99958915,11.999105190628265,11.994175300467765,0.0,-0.0,0.0,-0.0,-0.0,31.236784,0.11124827,0.8602024,0.9714506,0.9714506,0.0,0.85045964,0.85045964,0.8602024,-0.0,-8.9,31.020042,21.11111,21.11111,2.0
0.0,31.235462,0.0,0.0,2.9325342,3.1370115,0.0,0.0,0.0,0.0,0.0,0.0,0.11124842,0.11124842,0.0,0.99958867,11.999099666539385,11.994164057031897,0.0,-0.0,0.0,-0.0,-0.0,31.235462,0.11124842,0.88138837,0.9883023,0.9883023,0.0,0.8657738,0.8701083,0.88138837,-0.004334505,-8.9,31.17469,21.11111,21.11111,2.0
0.0,31.215511,0.0,0.0,2.629483,2.8128295,0.0,0.0,0.0,0.0,0.0,0.0,0.11124856,0.11124856,0.0,0.99958825,11.999094142440931,11.994153528793472,0.0,-0.0,0.0,-0.0,-0.0,31.215511,0.11124856,0.8642967,0.96596485,0.96596485,0.0,0.82020855,0.8297889,0.8642967,-0.009580364,-8.3,31.467793,21.11111,21.11111,2.0
0.0,31.223682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111248,0.111248,0.0,0.9995878,11.999088618367683,11.994142285383436,0.0,-0.0,0.0,-0.0,-0.0,31.223682,0.111248,0.84643435,0.93761,0.93761,0.0,0.80136806,0.82144046,0.84643435,-0.020072388,-8.05,31.785648,21.11111,21.11111,2.0
0.0,31.172071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11124815,0.11124815,0.0,0.9995873,11.999083094284492,11.99413104196873,0.0,-0.0,0.0,-0.0,-0.0,31.172071,0.11124815,0.8533914,0.9293234,0.9293234,0.0,0.73299223,0.7683084,0.8533914,-0.03531617,-6.7,32.21313,21.11111,21.11111,2.0
